text,label,reason,safe_tip
"Warm water cures thyroid permanently",Misleading,"No evidence","Consult doctor"
...
"Drinking lemon water cures diabetes permanently",Misleading,"Diabetes has no permanent cure through lemon water","Follow doctor treatment and proper diet control"
"Herbal tea alone can replace insulin injections",Dangerous,"Insulin is life-saving and cannot be replaced","Continue insulin and consult an endocrinologist"
"Green tea detox removes all cancer cells",Misleading,"Cancer cannot be cured through detox drinks","Seek proper oncology treatment"
"Stop chemotherapy and use Ayurveda only",Dangerous,"Delaying cancer treatment reduces survival chances","Follow oncologist guidance with supportive care"
"Drinking warm milk cures asthma completely",Misleading,"Asthma is chronic and requires inhalers","Use prescribed inhalers and avoid triggers"
"Quit inhalers and try home remedies for asthma",Dangerous,"Stopping inhalers may cause severe attacks","Continue asthma medication under supervision"
"Garlic can fully cure high BP in one week",Misleading,"BP needs long-term monitoring and treatment","Take prescribed BP medicines"
"Stop blood pressure tablets and take garlic daily",Dangerous,"Sudden stopping increases risk of stroke","Do not stop medication without doctor advice"
"Eating only fruits can detox your liver completely",Misleading,"Extreme detox diets are not medically proven","Maintain balanced nutrition"
"Fasting for 7 days cures thyroid disease",Dangerous,"Thyroid imbalance needs medical treatment","Consult endocrinologist and continue tablets"
"Stop thyroid tablets after feeling better",Dangerous,"Thyroid medicine is usually lifelong","Do not stop treatment without testing"
"Drinking aloe vera juice cures kidney failure",Misleading,"Kidney failure requires medical intervention","Consult nephrologist for proper care"
"Homeopathy guarantees cure for cancer",Misleading,"No guaranteed cure exists without clinical evidence","Follow evidence-based cancer care"
"Stop antibiotics once symptoms improve",Dangerous,"Incomplete antibiotics cause resistance","Complete full prescribed antibiotic course"
"Vaccines are harmful and should be avoided",Dangerous,"Vaccines prevent life-threatening infections","Follow government-approved vaccination schedule"
"COVID can be cured only with turmeric milk",Misleading,"Turmeric may support immunity but not cure infections","Follow medical treatment and vaccines"
"Sleeping less increases productivity and health",Misleading,"Lack of sleep damages physical and mental health","Maintain 7–8 hours sleep daily"
"Depression is cured by willpower only",Misleading,"Depression is a medical condition needing support","Seek therapy or psychiatric care"
"Quit antidepressants suddenly when mood improves",Dangerous,"Abrupt stopping causes withdrawal and relapse","Taper medication under doctor supervision"
