text,label
Drink water daily to stay hydrated,0
Quit antibiotics and follow warm water cure,2
garlic detox removes toxins from the body,1
Stop taking medicine for thyroid and use warm water,2
Exercise improves overall health,0
Replace doctor treatment with honey for thyroid,2
Replace doctor treatment with warm water for blood pressure,2
honey detox removes toxins from the body,1
"Doctors are unnecessary, treat thyroid at home",2
Sleep 7-8 hours for good health,0
Vaccines prevent serious infections,0
Replace doctor treatment with lemon water for diabetes,2
No need for insulin if you drink turmeric,2
honey works better than medicine for asthma,1
"Doctors are unnecessary, treat cancer at home",2
Exercise improves overall health,0
Consult a doctor for medical issues,0
turmeric works better than medicine for cancer,1
Drinking lemon water fixes blood pressure naturally,1
lemon water detox removes toxins from the body,1
Stop taking medicine for blood pressure and use turmeric,2
Drink water daily to stay hydrated,0
"Doctors are unnecessary, treat cancer at home",2
Drink water daily to stay hydrated,0
Replace doctor treatment with lemon water for thyroid,2
Vaccines prevent serious infections,0
Drink water daily to stay hydrated,0
Consult a doctor for medical issues,0
Replace doctor treatment with garlic for thyroid,2
garlic cures blood pressure permanently,1
turmeric works better than medicine for diabetes,1
Home remedies guarantee complete cure of thyroid,1
warm water works better than medicine for diabetes,1
garlic cures thyroid permanently,1
Drink water daily to stay hydrated,0
Exercise improves overall health,0
"Doctors are unnecessary, treat thyroid at home",2
Home remedies guarantee complete cure of asthma,1
Vaccines prevent serious infections,0
Quit antibiotics and follow garlic cure,2
Quit antibiotics and follow turmeric cure,2
warm water works better than medicine for cancer,1
Quit antibiotics and follow garlic cure,2
Eating fruits supports immunity,0
Quit antibiotics and follow turmeric cure,2
Drinking garlic fixes diabetes naturally,1
No need for insulin if you drink turmeric,2
Quit antibiotics and follow lemon water cure,2
Sleep 7-8 hours for good health,0
warm water works better than medicine for thyroid,1
lemon water detox removes toxins from the body,1
Vaccines prevent serious infections,0
Replace doctor treatment with warm water for blood pressure,2
garlic works better than medicine for cancer,1
"Doctors are unnecessary, treat blood pressure at home",2
garlic detox removes toxins from the body,1
garlic cures cancer permanently,1
No need for insulin if you drink warm water,2
Consult a doctor for medical issues,0
Home remedies guarantee complete cure of cancer,1
Quit antibiotics and follow turmeric cure,2
No need for insulin if you drink garlic,2
Drink water daily to stay hydrated,0
Eating fruits supports immunity,0
Vaccines prevent serious infections,0
Drink water daily to stay hydrated,0
"Doctors are unnecessary, treat thyroid at home",2
garlic cures diabetes permanently,1
Sleep 7-8 hours for good health,0
No need for insulin if you drink honey,2
lemon water cures blood pressure permanently,1
Drinking warm water fixes asthma naturally,1
Home remedies guarantee complete cure of blood pressure,1
Quit antibiotics and follow warm water cure,2
Home remedies guarantee complete cure of cancer,1
Vaccines prevent serious infections,0
No need for insulin if you drink turmeric,2
Quit antibiotics and follow warm water cure,2
Vaccines prevent serious infections,0
Replace doctor treatment with garlic for blood pressure,2
Drinking warm water fixes cancer naturally,1
Drink water daily to stay hydrated,0
Drinking honey fixes blood pressure naturally,1
Drinking lemon water fixes thyroid naturally,1
Quit antibiotics and follow lemon water cure,2
Sleep 7-8 hours for good health,0
Exercise improves overall health,0
No need for insulin if you drink lemon water,2
Vaccines prevent serious infections,0
garlic works better than medicine for cancer,1
Quit antibiotics and follow turmeric cure,2
Replace doctor treatment with garlic for blood pressure,2
warm water works better than medicine for blood pressure,1
honey detox removes toxins from the body,1
Consult a doctor for medical issues,0
lemon water cures thyroid permanently,1
honey works better than medicine for blood pressure,1
Exercise improves overall health,0
Vaccines prevent serious infections,0
Sleep 7-8 hours for good health,0
Stop taking medicine for diabetes and use honey,2
No need for insulin if you drink warm water,2
Eating fruits supports immunity,0
Drink water daily to stay hydrated,0
Quit antibiotics and follow honey cure,2
honey works better than medicine for cancer,1
honey cures blood pressure permanently,1
Drinking lemon water fixes cancer naturally,1
Stop taking medicine for blood pressure and use lemon water,2
Drink water daily to stay hydrated,0
Stop taking medicine for blood pressure and use turmeric,2
honey cures cancer permanently,1
lemon water detox removes toxins from the body,1
Quit antibiotics and follow honey cure,2
Drink water daily to stay hydrated,0
Quit antibiotics and follow garlic cure,2
Eating fruits supports immunity,0
Drinking warm water fixes asthma naturally,1
Replace doctor treatment with honey for asthma,2
Sleep 7-8 hours for good health,0
No need for insulin if you drink honey,2
No need for insulin if you drink honey,2
Home remedies guarantee complete cure of thyroid,1
Eating fruits supports immunity,0
No need for insulin if you drink warm water,2
Stop taking medicine for blood pressure and use garlic,2
Replace doctor treatment with lemon water for cancer,2
Sleep 7-8 hours for good health,0
Drink water daily to stay hydrated,0
lemon water cures diabetes permanently,1
Home remedies guarantee complete cure of thyroid,1
Stop taking medicine for diabetes and use garlic,2
Quit antibiotics and follow turmeric cure,2
Sleep 7-8 hours for good health,0
warm water cures diabetes permanently,1
No need for insulin if you drink garlic,2
lemon water cures diabetes permanently,1
Quit antibiotics and follow honey cure,2
Replace doctor treatment with garlic for thyroid,2
"Doctors are unnecessary, treat thyroid at home",2
Sleep 7-8 hours for good health,0
"Doctors are unnecessary, treat blood pressure at home",2
Stop taking medicine for thyroid and use garlic,2
Sleep 7-8 hours for good health,0
Replace doctor treatment with garlic for thyroid,2
warm water cures thyroid permanently,1
Eating fruits supports immunity,0
Sleep 7-8 hours for good health,0
Replace doctor treatment with honey for thyroid,2
Drink water daily to stay hydrated,0
Drinking honey fixes cancer naturally,1
No need for insulin if you drink lemon water,2
Drinking honey fixes blood pressure naturally,1
Sleep 7-8 hours for good health,0
"Doctors are unnecessary, treat cancer at home",2
Home remedies guarantee complete cure of diabetes,1
"Doctors are unnecessary, treat cancer at home",2
Replace doctor treatment with turmeric for blood pressure,2
turmeric cures blood pressure permanently,1
Eating fruits supports immunity,0
honey detox removes toxins from the body,1
Stop taking medicine for asthma and use honey,2
"Doctors are unnecessary, treat cancer at home",2
lemon water works better than medicine for diabetes,1
Stop taking medicine for blood pressure and use honey,2
garlic works better than medicine for diabetes,1
No need for insulin if you drink lemon water,2
turmeric cures diabetes permanently,1
No need for insulin if you drink garlic,2
Eating fruits supports immunity,0
Drink water daily to stay hydrated,0
"Doctors are unnecessary, treat cancer at home",2
Quit antibiotics and follow garlic cure,2
Exercise improves overall health,0
"Doctors are unnecessary, treat diabetes at home",2
"Doctors are unnecessary, treat cancer at home",2
Home remedies guarantee complete cure of cancer,1
Home remedies guarantee complete cure of thyroid,1
Eating fruits supports immunity,0
Quit antibiotics and follow warm water cure,2
Stop taking medicine for asthma and use honey,2
Drink water daily to stay hydrated,0
Drinking honey fixes cancer naturally,1
Drinking warm water fixes thyroid naturally,1
lemon water cures blood pressure permanently,1
Consult a doctor for medical issues,0
Replace doctor treatment with garlic for thyroid,2
No need for insulin if you drink warm water,2
turmeric cures thyroid permanently,1
No need for insulin if you drink honey,2
"Doctors are unnecessary, treat thyroid at home",2
Vaccines prevent serious infections,0
Drink water daily to stay hydrated,0
Drink water daily to stay hydrated,0
Stop taking medicine for thyroid and use turmeric,2
Stop taking medicine for blood pressure and use warm water,2
honey cures blood pressure permanently,1
Quit antibiotics and follow honey cure,2
Drinking turmeric fixes asthma naturally,1
Eating fruits supports immunity,0
turmeric cures thyroid permanently,1
Drinking warm water fixes thyroid naturally,1
warm water works better than medicine for cancer,1
Exercise improves overall health,0
Eating fruits supports immunity,0
Quit antibiotics and follow warm water cure,2
Home remedies guarantee complete cure of thyroid,1
Drinking turmeric fixes asthma naturally,1
No need for insulin if you drink turmeric,2
"Doctors are unnecessary, treat asthma at home",2
warm water cures blood pressure permanently,1
turmeric detox removes toxins from the body,1
Replace doctor treatment with warm water for blood pressure,2
garlic cures blood pressure permanently,1
"Doctors are unnecessary, treat diabetes at home",2
Drink water daily to stay hydrated,0
Stop taking medicine for diabetes and use lemon water,2
Stop taking medicine for blood pressure and use lemon water,2
Stop taking medicine for diabetes and use honey,2
Exercise improves overall health,0
Exercise improves overall health,0
Drinking honey fixes asthma naturally,1
"Doctors are unnecessary, treat cancer at home",2
garlic detox removes toxins from the body,1
Stop taking medicine for diabetes and use turmeric,2
No need for insulin if you drink honey,2
Eating fruits supports immunity,0
Drinking turmeric fixes thyroid naturally,1
Replace doctor treatment with warm water for asthma,2
Home remedies guarantee complete cure of cancer,1
warm water works better than medicine for blood pressure,1
Eating fruits supports immunity,0
"Doctors are unnecessary, treat cancer at home",2
Stop taking medicine for thyroid and use warm water,2
Drinking garlic fixes asthma naturally,1
Replace doctor treatment with garlic for cancer,2
Drinking warm water fixes asthma naturally,1
Eating fruits supports immunity,0
garlic works better than medicine for blood pressure,1
Stop taking medicine for cancer and use lemon water,2
turmeric works better than medicine for blood pressure,1
Stop taking medicine for asthma and use warm water,2
Stop taking medicine for blood pressure and use honey,2
Replace doctor treatment with lemon water for blood pressure,2
Eating fruits supports immunity,0
Drinking garlic fixes cancer naturally,1
warm water detox removes toxins from the body,1
Home remedies guarantee complete cure of thyroid,1
Home remedies guarantee complete cure of diabetes,1
Sleep 7-8 hours for good health,0
Vaccines prevent serious infections,0
warm water cures thyroid permanently,1
Eating fruits supports immunity,0
garlic detox removes toxins from the body,1
"Doctors are unnecessary, treat asthma at home",2
Stop taking medicine for thyroid and use lemon water,2
Drinking garlic fixes cancer naturally,1
Quit antibiotics and follow turmeric cure,2
Quit antibiotics and follow turmeric cure,2
lemon water works better than medicine for blood pressure,1
Consult a doctor for medical issues,0
lemon water cures blood pressure permanently,1
Home remedies guarantee complete cure of blood pressure,1
Quit antibiotics and follow warm water cure,2
Replace doctor treatment with lemon water for asthma,2
Quit antibiotics and follow lemon water cure,2
garlic detox removes toxins from the body,1
Sleep 7-8 hours for good health,0
Replace doctor treatment with garlic for thyroid,2
No need for insulin if you drink turmeric,2
Consult a doctor for medical issues,0
honey works better than medicine for blood pressure,1
Drinking turmeric fixes diabetes naturally,1
No need for insulin if you drink warm water,2
Stop taking medicine for asthma and use honey,2
Exercise improves overall health,0
Eating fruits supports immunity,0
Home remedies guarantee complete cure of cancer,1
honey detox removes toxins from the body,1
Vaccines prevent serious infections,0
Vaccines prevent serious infections,0
Stop taking medicine for thyroid and use warm water,2
No need for insulin if you drink lemon water,2
Home remedies guarantee complete cure of thyroid,1
Exercise improves overall health,0
Consult a doctor for medical issues,0
Stop taking medicine for cancer and use warm water,2
Vaccines prevent serious infections,0
No need for insulin if you drink warm water,2
Drink water daily to stay hydrated,0
Quit antibiotics and follow turmeric cure,2
Eating fruits supports immunity,0
Exercise improves overall health,0
"Doctors are unnecessary, treat blood pressure at home",2
No need for insulin if you drink garlic,2
warm water works better than medicine for diabetes,1
Quit antibiotics and follow honey cure,2
Drink water daily to stay hydrated,0
Drink water daily to stay hydrated,0
Drinking warm water fixes cancer naturally,1
Exercise improves overall health,0
Sleep 7-8 hours for good health,0
lemon water detox removes toxins from the body,1
No need for insulin if you drink warm water,2
warm water detox removes toxins from the body,1
Stop taking medicine for cancer and use lemon water,2
turmeric cures thyroid permanently,1
Eating fruits supports immunity,0
"Doctors are unnecessary, treat diabetes at home",2
Consult a doctor for medical issues,0
Drinking turmeric fixes diabetes naturally,1
No need for insulin if you drink warm water,2
Replace doctor treatment with honey for asthma,2
Exercise improves overall health,0
Exercise improves overall health,0
Exercise improves overall health,0
No need for insulin if you drink warm water,2
Drinking lemon water fixes diabetes naturally,1
lemon water cures diabetes permanently,1
Eating fruits supports immunity,0
Replace doctor treatment with garlic for blood pressure,2
Sleep 7-8 hours for good health,0
Eating fruits supports immunity,0
No need for insulin if you drink garlic,2
Stop taking medicine for asthma and use warm water,2
Sleep 7-8 hours for good health,0
Exercise improves overall health,0
Exercise improves overall health,0
Vaccines prevent serious infections,0
Eating fruits supports immunity,0
garlic cures asthma permanently,1
lemon water detox removes toxins from the body,1
"Doctors are unnecessary, treat blood pressure at home",2
Vaccines prevent serious infections,0
Sleep 7-8 hours for good health,0
warm water works better than medicine for blood pressure,1
"Doctors are unnecessary, treat blood pressure at home",2
Drink water daily to stay hydrated,0
Consult a doctor for medical issues,0
Home remedies guarantee complete cure of asthma,1
Exercise improves overall health,0
honey works better than medicine for blood pressure,1
Stop taking medicine for cancer and use lemon water,2
Eating fruits supports immunity,0
Replace doctor treatment with warm water for blood pressure,2
Drinking garlic fixes asthma naturally,1
Vaccines prevent serious infections,0
Replace doctor treatment with garlic for diabetes,2
Quit antibiotics and follow turmeric cure,2
Stop taking medicine for blood pressure and use garlic,2
Consult a doctor for medical issues,0
warm water works better than medicine for cancer,1
Stop taking medicine for blood pressure and use turmeric,2
"Doctors are unnecessary, treat cancer at home",2
lemon water works better than medicine for cancer,1
Vaccines prevent serious infections,0
